id,level,category,word,translation,phonetic,tense,number_mode,s1_en,s1_pl,s2_en,s2_pl,s3_en,s3_pl,s4_en,s4_pl,s5_en,s5_pl
1,A1,Czasowniki,Be,Być,/biː/,PresentSimple,singular,I am happy.,Jestem szczęśliwy.,She is my friend.,Ona jest moją przyjaciółką.,It is a dog.,To jest pies.,He is at home.,On jest w domu.,You are nice.,Jesteś miły.
1,A1,Czasowniki,Was/Were,Był/Byli,/wɒz/,PastSimple,singular,I was tired yesterday.,Byłem wczoraj zmęczony.,She was at school.,Ona była w szkole.,It was cold.,Było zimno.,He was late.,On był spóźniony.,You were right.,Miałeś rację.
1,A1,Czasowniki,Will be,Będzie,/wɪl biː/,FutureSimple,singular,I will be there.,Będę tam.,She will be happy.,Ona będzie szczęśliwa.,It will be fun.,To będzie fajne.,He will be a doctor.,On będzie lekarzem.,You will be tired.,Będziesz zmęczony.
2,A1,Czasowniki,Have,Mieć,/hæv/,PresentSimple,singular,I have a cat.,Mam kota.,She has a car.,Ona ma samochód.,He has a sister.,On ma siostrę.,We have time.,Mamy czas.,You have a pen.,Masz długopis.
2,A1,Czasowniki,Had,Miał,/hæd/,PastSimple,singular,I had a dog.,Miałem psa.,She had a problem.,Ona miała problem.,We had fun.,Dobrze się bawiliśmy.,He had money.,On miał pieniądze.,You had a choice.,Miałeś wybór.
2,A1,Czasowniki,Will have,Będzie mieć,/wɪl hæv/,FutureSimple,singular,I will have time.,Będę mieć czas.,She will have a baby.,Ona będzie mieć dziecko.,We will have lunch.,Zjemy lunch.,He will have a car.,On będzie mieć auto.,You will have fun.,Będziesz się dobrze bawić.
3,A1,Czasowniki,Go,Iść/Jechać,/ɡəʊ/,PresentSimple,singular,I go to school.,Idę do szkoły.,She goes home.,Ona idzie do domu.,He goes to work.,On idzie do pracy.,We go by bus.,Jedziemy autobusem.,They go fast.,Oni jadą szybko.
3,A1,Czasowniki,Going,Iść (Teraz),/ˈɡəʊ.ɪŋ/,PresentContinuous,singular,I am going now.,Właśnie idę.,She is going out.,Ona wychodzi.,He is going to bed.,On idzie spać.,We are going home.,Idziemy do domu.,They are going away.,Oni wyjeżdżają.
3,A1,Czasowniki,Went,Poszedł,/went/,PastSimple,singular,I went to the park.,Poszedłem do parku.,She went to sleep.,Ona poszła spać.,He went out.,On wyszedł.,We went by car.,Pojechaliśmy autem.,They went home.,Oni poszli do domu.
3,A1,Czasowniki,Was going,Szedł (Wtedy),/wɒz ˈɡəʊ.ɪŋ/,PastContinuous,singular,I was going home when...,Szedłem do domu kiedy...,She was going to work.,Ona szła do pracy.,He was going fast.,On jechał szybko.,We were going there.,Szliśmy tam.,They were going slowly.,Oni szli powoli.
3,A1,Czasowniki,Will go,Pójdzie,/wɪl ɡəʊ/,FutureSimple,singular,I will go tomorrow.,Pójdę jutro.,She will go with you.,Ona pójdzie z tobą.,He will go alone.,On pójdzie sam.,We will go soon.,Niedługo pójdziemy.,They will go too.,Oni też pójdą.
3,A1,Czasowniki,Gone,Poszedł (Już),/ɡɒn/,PresentPerfect,singular,I have gone there.,Poszedłem tam (już).,She has gone out.,Ona wyszła.,He has gone home.,On poszedł do domu.,We have gone far.,Zaszliśmy daleko.,They have gone away.,Oni wyjechali.
3,A1,Czasowniki,Going to go,Zamierza iść,/ˈɡəʊ.ɪŋ tu ɡəʊ/,GoingTo,singular,I am going to go.,Zamierzam iść.,She is going to go.,Ona zamierza iść.,He is going to go.,On zamierza iść.,We are going to go.,Zamierzamy iść.,They are going to go.,Oni zamierzają iść.
4,A1,Czasowniki,Eat,Jeść,/iːt/,PresentSimple,singular,I eat breakfast.,Jem śniadanie.,She eats apples.,Ona je jabłka.,He eats meat.,On je mięso.,We eat together.,Jemy razem.,You eat fast.,Jesz szybko.
4,A1,Czasowniki,Eating,Jeść (Teraz),/ˈiː.tɪŋ/,PresentContinuous,singular,I am eating now.,Właśnie jem.,She is eating lunch.,Ona je lunch.,He is eating cake.,On je ciasto.,We are eating soup.,Jemy zupę.,You are eating well.,Dobrze się odżywiasz.
4,A1,Czasowniki,Ate,Zjadł,/eɪt/,PastSimple,singular,I ate a pizza.,Zjadłem pizzę.,She ate salad.,Ona zjadła sałatkę.,He ate it all.,On zjadł wszystko.,We ate at home.,Jedliśmy w domu.,You ate early.,Zjadłeś wcześnie.
4,A1,Czasowniki,Was eating,Jadł (Wtedy),/wɒz ˈiː.tɪŋ/,PastContinuous,singular,I was eating dinner.,Jadłem obiad.,She was eating alone.,Jadła sama.,He was eating fast.,Jadł szybko.,We were eating out.,Jedliśmy na mieście.,You were eating fruit.,Jadłeś owoce.
4,A1,Czasowniki,Will eat,Zje,/wɪl iːt/,FutureSimple,singular,I will eat later.,Zjem później.,She will eat fish.,Ona zje rybę.,He will eat bread.,On zje chleb.,We will eat soon.,Zjemy niedługo.,You will eat this.,Zjesz to.
4,A1,Czasowniki,Eaten,Zjadł (Już),/ˈiː.tən/,PresentPerfect,singular,I have eaten.,Już jadłem.,She has eaten lunch.,Ona zjadła lunch.,He has eaten enough.,On zjadł wystarczająco.,We have eaten all.,Zjedliśmy wszystko.,You have eaten well.,Dobrze zjadłeś.
4,A1,Czasowniki,Going to eat,Zamierza jeść,/ˈɡəʊ.ɪŋ tu iːt/,GoingTo,singular,I am going to eat.,Zamierzam jeść.,She is going to eat.,Ona zamierza jeść.,He is going to eat.,On zamierza jeść.,We are going to eat.,Zamierzamy jeść.,They are going to eat.,Oni zamierzają jeść.
5,A1,Rodzina,Mother,Matka,/ˈmʌð.ər/,PresentSimple,singular,My mother is nice.,Moja matka jest miła.,I love my mother.,Kocham moją matkę.,His mother cooks.,Jego matka gotuje.,Her mother works.,Jej matka pracuje.,Your mother calls.,Twoja matka dzwoni.
5,A1,Rodzina,Mothers,Matki,/ˈmʌð.ərz/,PresentSimple,plural,Mothers care.,Matki się troszczą.,Our mothers met.,Nasze matki się spotkały.,Good mothers help.,Dobre matki pomagają.,Mothers work hard.,Matki ciężko pracują.,Do mothers know?,Czy matki wiedzą?
6,A1,Rodzina,Father,Ojciec,/ˈfɑː.ðər/,PresentSimple,singular,My father is tall.,Mój ojciec jest wysoki.,I help my father.,Pomagam ojcu.,His father reads.,Jego ojciec czyta.,Her father drives.,Jej ojciec prowadzi.,Your father knows.,Twój ojciec wie.
6,A1,Rodzina,Fathers,Ojcowie,/ˈfɑː.ðərz/,PresentSimple,plural,Fathers are strong.,Ojcowie są silni.,Our fathers work.,Nasi ojcowie pracują.,Fathers play too.,Ojcowie też się bawią.,Good fathers listen.,Dobrzy ojcowie słuchają.,Do fathers cry?,Czy ojcowie płaczą?
7,A1,Dom,House,Dom,/haʊs/,PresentSimple,singular,My house is big.,Mój dom jest duży.,I like this house.,Lubię ten dom.,The house is old.,Dom jest stary.,Is your house clean?,Czy twój dom jest czysty?,She buys a house.,Ona kupuje dom.
